BULAN,KOTA MEULABOH,KOTA BANDA ACEH,KOTA LHOKSEUMAWE,KOTA SIBOLGA,KOTA PEMATANG SIANTAR,KOTA MEDAN,KOTA PADANGSIDIMPUAN,KOTA PADANG,KOTA BUKITTINGGI,TEMBILAHAN,KOTA PEKANBARU,KOTA DUMAI,BUNGO,KOTA JAMBI,KOTA PALEMBANG,KOTA LUBUKLINGGAU,KOTA BENGKULU,KOTA BANDAR LAMPUNG,KOTA METRO,TANJUNG PANDAN,KOTA PANGKAL PINANG,KOTA BATAM,KOTA TANJUNG PINANG,DKI JAKARTA,KOTA BOGOR,KOTA SUKABUMI,KOTA BANDUNG,KOTA CIREBON,KOTA BEKASI,KOTA DEPOK,KOTA TASIKMALAYA,CILACAP,PURWOKERTO,KUDUS,KOTA SURAKARTA,KOTA SEMARANG,KOTA TEGAL,KOTA YOGYAKARTA,JEMBER,BANYUWANGI,SUMENEP,KOTA KEDIRI,KOTA MALANG,KOTA PROBOLINGGO,KOTA MADIUN,KOTA SURABAYA,KOTA TANGERANG,KOTA CILEGON,KOTA SERANG,SINGARAJA,KOTA DENPASAR,KOTA MATARAM,KOTA BIMA,MAUMERE,KOTA KUPANG,KOTA PONTIANAK,KOTA SINGKAWANG,SAMPIT,KOTA PALANGKA RAYA,TANJUNG,KOTA BANJARMASIN,KOTA BALIKPAPAN,KOTA SAMARINDA,KOTA TARAKAN,KOTA MANADO,KOTA PALU,BULUKUMBA,WATAMPONE,KOTA MAKASSAR,KOTA PARE-PARE,KOTA PALOPO,KOTA KENDARI,KOTA BAU-BAU,KOTA GORONTALO,MAMUJU,KOTA AMBON,KOTA TUAL,KOTA TERNATE,MANOKWARI,KOTA SORONG,MERAUKE,KOTA JAYAPURA
Jan-14,1.67,1.54,1.13,0.14,0.00,0.06,0.09,0.08,2.08,3.30,-0.43,-0.05,2.59,0.24,0.05,0.06,-0.14,0.06,0.09,0.24,0.39,-0.08,0.00,0.15,0.60,1.61,0.19,0.00,0.00,0.00,0.25,0.11,0.02,0.00,2.39,1.28,0.15,0.91,0.13,0.84,0.26,1.11,0.35,0.16,0.07,0.83,0.00,0.07,1.75,0.56,0.19,0.46,-0.08,-0.02,0.89,4.93,0.22,0.08,0.36,0.57,1.73,2.26,0.00,3.32,0.37,1.26,0.20,0.68,0.82,-0.21,0.00,-0.16,0.53,0.06,0.10,0.04,0.40,0.33,0.03,0.29,1.11,0.40
Feb-14,-0.52,-0.05,0.14,0.00,0.20,0.08,1.55,0.01,0.13,0.20,-0.21,0.32,0.42,-0.05,-0.13,-0.03,0.24,1.25,-0.04,1.92,0.44,0.27,0.34,0.65,0.03,0.07,0.25,0.00,0.01,0.24,0.94,1.63,0.74,0.41,0.22,0.46,1.44,0.10,2.25,0.00,1.13,0.24,0.15,0.00,0.43,0.17,1.62,0.00,0.09,1.11,0.09,-0.07,0.14,0.02,1.68,0.68,0.15,0.19,0.77,0.23,-0.10,-0.17,1.88,0.41,0.19,1.26,0.00,0.47,0.09,1.17,-0.45,0.05,0.54,0.49,-0.12,0.00,1.08,-0.10,0.69,0.97,-0.05,0.39
Mar-14,-0.01,0.25,0.07,0.04,0.00,-0.18,0.58,0.07,0.00,0.00,0.24,0.16,-0.01,0.39,-0.32,-0.05,0.23,0.14,-0.68,0.05,0.10,0.02,0.72,0.02,1.08,0.60,0.07,0.08,0.10,0.17,0.47,0.14,0.22,0.56,0.24,0.17,-0.08,0.45,0.43,0.72,0.51,0.57,0.23,0.21,0.32,0.47,0.04,0.60,0.30,0.00,0.08,-0.04,0.02,0.38,0.40,0.38,0.02,0.18,0.02,0.02,-0.25,0.01,1.09,0.16,0.32,0.91,0.17,0.17,0.27,0.07,0.58,-0.01,-0.06,0.43,1.07,0.11,0.26,0.75,0.43,1.35,0.39,0.16
Apr-14,0.06,0.13,1.24,0.00,0.21,0.17,-0.30,0.89,0.00,0.00,0.05,-0.12,-0.24,0.23,-0.04,0.00,0.31,0.12,-0.63,-0.19,0.64,0.73,0.10,0.41,0.51,-0.04,0.08,0.06,-0.03,0.04,0.04,0.58,0.22,-0.21,0.15,0.08,0.31,0.77,0.40,0.18,0.10,0.55,0.07,0.20,0.06,0.30,0.20,0.47,0.14,0.11,1.09,-0.08,0.07,-0.08,0.39,0.01,0.05,-0.03,0.42,0.00,0.47,0.12,0.22,0.13,0.41,-0.38,0.20,-0.12,0.00,0.06,0.03,0.44,0.06,0.06,1.08,0.00,0.34,0.23,0.20,0.05,0.07,0.25
May-14,0.11,0.20,0.11,0.00,0.22,0.55,-0.24,0.02,1.70,0.06,0.05,0.26,0.13,0.30,0.08,0.00,0.11,-0.15,0.37,0.03,0.26,0.26,0.01,0.29,0.38,-0.04,0.04,0.23,0.68,0.99,0.09,0.56,0.22,0.45,0.34,0.07,0.02,-0.17,0.00,0.09,0.21,0.11,0.65,0.00,0.30,0.12,-0.01,0.28,0.62,0.34,0.03,-0.04,0.72,0.07,-0.38,0.21,0.09,0.07,0.10,2.05,-0.06,-0.42,0.04,0.02,0.21,0.47,1.18,0.13,1.13,-0.04,-0.06,0.28,0.00,1.29,-0.11,0.52,0.87,0.09,0.61,-0.02,0.03,0.26
Jun-14,0.24,0.17,0.03,0.05,0.00,-0.07,0.33,2.44,0.50,0.02,0.05,0.40,0.21,0.26,0.20,0.50,0.09,0.52,0.03,0.03,0.42,0.75,0.03,0.12,0.22,0.07,0.03,0.02,0.28,0.00,-0.02,0.32,0.59,0.41,0.35,2.68,0.21,0.43,0.01,0.00,0.06,0.24,0.01,0.26,0.26,0.03,0.00,0.09,0.13,0.32,0.03,0.22,0.29,-0.02,0.03,1.21,0.21,-0.08,0.02,0.23,0.02,-0.01,-0.60,0.03,1.01,0.10,0.27,0.24,0.05,1.24,0.02,0.54,0.20,0.91,1.99,-0.36,0.20,0.53,0.00,0.08,0.16,0.28
Jul-14,0.69,0.12,0.50,0.35,0.23,0.54,0.18,-0.13,0.72,1.84,0.15,-0.11,0.42,-0.02,-0.09,-0.27,0.85,0.04,0.12,0.06,0.95,0.00,-0.12,0.06,0.32,0.62,0.06,0.04,0.23,0.47,0.07,-0.27,0.16,0.10,0.53,0.40,0.07,0.76,-0.48,0.00,0.50,0.12,0.06,0.46,0.09,-0.05,0.04,0.03,0.19,0.00,0.06,-0.07,0.50,-0.03,0.54,0.48,0.35,-0.02,0.03,0.10,0.39,0.01,0.29,-0.10,0.14,-0.52,0.92,0.01,-0.49,0.33,0.00,0.01,0.21,0.34,0.59,0.38,0.89,-0.06,0.00,0.81,0.14,0.17
Aug-14,-0.08,0.02,0.20,0.05,0.43,0.37,0.52,0.02,0.01,3.46,-0.16,-0.06,-0.02,1.24,0.14,-0.06,0.19,0.00,0.99,-0.03,0.06,-0.19,-0.09,0.81,0.00,0.00,0.11,0.10,0.02,0.08,0.38,0.24,-0.31,2.85,0.75,-0.03,0.00,-0.01,0.28,0.00,0.18,0.09,0.42,0.57,0.16,0.07,0.23,0.35,0.12,0.55,0.18,0.00,0.22,0.00,-0.16,0.35,-0.03,0.17,-0.03,0.34,0.31,0.10,0.89,0.10,0.49,0.13,0.04,0.45,0.53,0.08,-0.03,0.16,0.21,0.01,0.16,0.41,-0.10,0.00,0.35,0.34,0.55,0.30
Sep-14,0.83,0.24,1.06,0.01,0.35,0.36,0.08,0.17,0.14,0.00,0.00,0.13,0.03,0.02,0.13,-0.26,0.42,0.00,0.04,-0.07,0.03,0.07,0.35,0.69,0.40,0.03,0.22,0.02,-0.01,0.07,0.45,0.34,-0.01,-1.04,0.36,0.14,0.40,0.02,0.39,0.00,0.00,0.26,0.87,0.12,0.26,0.39,0.00,0.18,0.09,0.22,0.10,0.01,0.11,0.01,0.17,0.30,0.04,0.48,0.60,0.21,1.25,0.35,1.46,0.05,0.06,-0.64,0.31,0.05,0.97,0.06,0.44,0.15,0.08,-0.02,0.51,0.23,0.06,-0.15,1.08,0.23,-0.03,0.30
Oct-14,0.16,-0.02,0.38,0.25,0.00,0.43,0.84,0.86,0.18,0.32,0.11,0.11,0.00,0.46,0.09,0.00,0.67,0.28,-0.13,0.08,0.43,1.05,0.13,0.05,0.10,0.86,0.04,-0.02,0.02,0.11,0.07,0.59,0.21,0.17,0.00,0.15,1.08,0.30,0.08,0.86,0.06,-0.20,0.26,0.27,0.74,0.10,0.01,0.55,0.12,0.23,0.06,0.26,0.36,0.00,0.13,0.35,0.00,0.22,-0.01,0.03,0.00,0.48,1.26,0.04,0.03,0.05,0.85,0.19,0.35,0.04,0.14,-0.01,0.10,0.04,0.76,0.00,-0.17,0.17,-0.06,-0.06,0.21,0.18
Nov-14,0.17,0.67,1.90,0.09,0.12,0.50,0.34,0.26,0.61,0.05,0.20,0.04,0.23,0.20,0.06,0.03,1.30,0.01,0.71,0.26,0.28,0.04,0.13,0.01,0.20,0.69,0.09,-0.04,0.02,0.04,0.46,0.74,0.69,-0.60,0.02,0.11,0.22,0.27,0.22,0.01,0.29,0.60,0.33,1.05,0.32,0.56,0.04,0.73,0.26,1.86,0.00,0.20,0.89,0.05,0.30,0.26,0.77,0.32,2.44,0.66,0.00,0.63,0.05,0.07,0.20,0.74,-0.07,0.06,0.35,0.29,0.03,0.13,0.20,0.50,0.09,0.00,0.38,0.11,0.05,-0.09,0.45,0.21
Dec-14,0.47,0.20,0.25,0.07,1.50,0.01,1.55,3.14,0.87,0.38,0.56,1.85,0.49,1.27,1.97,1.96,2.14,1.87,2.72,0.42,1.70,0.26,3.31,0.09,0.30,0.92,0.51,0.09,0.25,0.95,1.44,0.68,0.79,3.40,0.57,1.63,0.45,0.88,0.37,0.44,1.88,0.63,1.34,0.81,1.27,1.94,0.23,1.94,0.56,2.24,0.42,1.36,1.24,0.15,1.93,5.66,2.49,0.69,2.67,0.48,0.07,1.25,0.14,1.29,1.32,2.17,0.25,0.88,3.57,0.07,4.88,4.43,1.08,2.19,0.58,0.79,1.07,0.35,0.17,0.42,1.09,0.87
Jan-15,1.37,1.50,0.82,0.17,1.44,0.43,0.20,1.62,2.29,0.91,1.01,0.17,-0.22,0.21,-0.11,2.64,0.84,0.12,-0.24,-0.06,0.51,0.17,0.48,0.22,0.03,0.43,0.37,0.17,0.01,0.55,0.04,-0.11,0.02,-0.25,1.17,0.95,0.32,0.90,0.11,1.52,0.11,2.52,0.45,0.38,1.43,1.63,0.55,1.26,-0.14,0.41,1.39,1.02,0.50,-0.02,0.16,0.55,0.21,0.26,-1.97,0.61,3.56,0.23,0.05,0.49,0.44,0.93,1.92,0.99,0.12,1.76,0.39,0.23,1.31,0.16,1.49,0.32,0.31,0.52,0.55,0.10,0.63,0.60
Feb-15,0.02,-0.27,0.39,0.02,0.08,0.07,0.25,-0.86,0.44,1.45,-0.04,0.26,-0.22,-0.30,0.20,-0.03,0.26,0.14,-0.45,0.17,0.76,2.42,-0.01,0.54,1.97,0.94,-0.10,0.20,0.09,-0.36,-0.05,-0.37,0.09,-0.73,0.04,-0.08,-0.22,-0.06,0.10,-0.28,0.39,-0.31,-0.28,-0.13,-0.26,-0.18,1.67,-0.11,-0.20,3.82,0.26,-0.15,0.35,0.13,-0.08,-0.36,0.06,0.31,0.60,0.31,0.05,0.16,0.97,-0.12,0.51,0.71,0.89,0.36,0.47,-0.01,-0.15,-0.12,-0.24,-0.84,-0.10,-0.33,-0.11,0.32,-0.02,-0.03,0.22,0.28
Mar-15,-0.06,-0.09,-0.05,0.90,0.19,0.08,0.66,-0.13,0.10,0.00,-0.01,3.22,-0.10,-0.05,0.06,0.65,0.90,1.85,0.16,0.00,0.65,0.95,0.00,0.12,1.00,0.75,0.81,1.34,0.04,0.09,-0.04,0.13,-0.11,0.17,-0.41,-0.03,-0.02,0.10,0.33,0.06,0.30,0.92,0.14,1.00,0.21,-0.13,0.03,0.11,-0.03,0.00,0.00,0.52,0.56,0.14,-0.26,-0.01,0.04,-0.56,-0.08,0.34,0.70,-0.17,0.01,-0.01,0.33,0.00,0.81,0.87,0.17,0.06,0.25,-0.02,0.10,0.11,0.63,1.05,-0.34,0.07,0.10,-0.06,1.31,0.25
Apr-15,-0.25,0.14,0.32,0.12,0.38,0.80,0.07,0.19,-0.11,0.17,0.11,0.06,-0.06,0.03,0.12,0.94,0.16,0.40,0.04,-0.13,-0.14,1.01,0.22,0.20,0.21,-0.03,0.06,-0.39,0.00,-0.37,1.23,0.19,0.09,-0.03,-0.04,-0.07,-0.17,0.62,-0.14,-0.08,0.03,-0.09,0.10,0.00,0.12,-0.38,-0.01,0.32,-0.28,-0.35,0.26,0.59,-0.47,0.46,-0.04,0.69,-0.13,0.26,-0.20,0.03,-0.10,0.07,-0.01,-0.31,0.30,0.34,-0.01,0.13,-0.10,0.51,-0.18,-0.07,0.06,0.15,0.24,0.33,0.09,0.35,0.10,-0.05,0.11,0.12
May-15,-0.38,-0.11,-0.39,1.34,0.06,0.41,-0.01,0.00,-0.04,0.85,0.36,-0.01,-0.04,-0.24,-0.16,-0.27,0.33,-0.67,0.59,0.17,0.00,0.09,0.00,0.08,0.03,0.12,-0.13,-0.01,-0.02,0.23,0.05,0.04,-0.18,-0.10,-0.14,-0.01,-0.10,-0.09,0.06,-0.05,0.00,-0.07,-0.08,0.48,0.20,0.08,-0.17,1.32,0.45,0.10,0.30,0.28,-0.29,-0.26,-0.16,0.06,0.02,1.39,2.04,-0.01,-0.06,-0.37,-0.18,0.03,0.04,0.72,0.00,0.25,-0.09,0.16,-0.02,-0.21,0.05,2.20,0.17,0.00,0.96,0.17,-0.01,0.02,0.57,0.10
Jun-15,-0.08,0.00,-0.13,1.95,0.00,0.06,-0.01,0.00,0.13,0.00,-0.26,0.41,0.00,0.25,-0.03,0.22,0.00,0.00,0.46,-0.15,0.14,0.10,-0.12,0.31,0.07,0.09,0.85,0.02,-0.08,0.00,0.00,-0.12,-0.03,0.31,0.03,0.31,-0.05,-0.04,0.21,0.00,0.00,0.07,-0.02,0.19,0.01,0.16,0.01,0.66,0.83,0.11,-0.04,-0.21,-0.04,-0.30,-0.29,-0.26,0.01,-0.04,-0.03,0.00,0.09,0.08,-0.14,-0.11,0.08,0.00,-0.83,0.53,-0.24,0.11,-0.04,-0.41,-0.14,0.18,0.68,0.00,-0.09,0.24,0.05,1.12,0.21,0.16
Jul-15,0.04,0.00,-0.42,-0.05,0.00,0.52,0.02,0.86,0.02,0.00,-0.01,0.18,-0.13,-0.29,0.00,0.04,-0.08,0.00,0.16,0.06,0.18,-0.05,0.35,0.00,0.06,0.30,-0.10,0.13,0.16,0.02,-0.02,-0.19,-0.62,-0.46,0.05,-0.05,-0.01,0.01,-0.07,0.00,0.52,-0.04,0.06,-0.03,-0.31,0.00,0.01,0.16,-0.24,-0.05,0.15,-0.46,-0.37,0.00,0.34,-0.10,-0.06,1.17,0.00,0.30,-0.01,0.45,1.72,-0.01,0.25,-0.04,0.02,0.13,0.11,0.14,0.11,-0.13,-0.19,0.38,-0.02,0.69,0.04,0.04,0.01,0.09,0.18,0.07
Aug-15,-0.32,-0.12,-0.42,0.00,-0.30,0.16,0.27,-0.61,0.04,0.05,-0.07,0.07,0.07,0.42,0.12,0.91,0.16,0.00,0.09,0.32,0.23,0.01,-0.01,0.25,0.10,0.08,-0.11,0.00,0.07,0.33,0.27,0.34,0.00,0.11,0.71,0.25,1.44,0.42,0.24,0.71,0.14,0.05,0.43,0.00,0.17,-0.30,-0.06,-0.01,0.05,0.05,0.00,0.29,0.11,-0.56,-0.56,-0.47,-0.02,-0.16,-0.26,0.38,0.00,0.14,-0.14,-0.12,0.62,0.01,0.81,0.15,0.07,0.27,0.06,-0.14,-0.25,0.08,0.23,-0.02,0.79,-1.07,1.46,-2.19,0.02,0.12
Sep-15,0.16,0.13,0.28,0.15,0.41,0.83,0.00,0.24,0.00,0.00,0.20,0.08,0.95,0.04,0.24,0.64,-0.23,0.48,0.08,0.07,-0.17,-0.16,0.04,0.24,0.73,0.85,0.47,0.00,0.17,0.00,0.18,0.18,0.31,0.53,0.08,-0.06,-0.36,0.74,0.00,0.92,0.35,0.19,0.34,0.04,0.43,0.03,0.04,0.47,1.13,0.32,0.18,1.46,0.07,0.03,0.50,-0.05,0.03,-0.17,0.54,0.64,0.19,0.28,-0.13,0.13,0.07,-0.35,0.43,0.07,0.04,0.00,0.13,1.15,0.06,2.23,0.34,0.30,0.06,0.38,-0.15,-0.10,-0.03,0.25
Oct-15,0.08,0.00,0.24,0.00,0.06,0.77,0.00,0.81,0.04,0.00,0.11,0.01,-0.29,0.47,0.25,0.40,0.81,0.88,0.17,-0.05,0.12,-0.16,-0.03,0.06,0.03,0.38,-0.05,0.00,0.06,0.05,0.62,-0.28,0.01,-0.71,0.76,-0.01,-0.01,0.05,0.48,0.48,0.60,0.41,0.21,0.00,0.17,-0.23,1.32,0.29,-0.04,-0.69,0.10,0.13,-0.03,-0.04,-0.28,0.02,-0.19,-0.12,0.04,0.00,0.05,0.23,0.01,-0.32,0.21,-0.76,0.14,0.17,-0.28,0.06,0.04,-0.15,-0.05,0.17,0.72,-0.04,0.44,0.48,-0.12,0.00,0.08,0.18
Nov-15,0.18,0.34,0.76,0.12,0.21,0.11,0.09,1.02,0.01,0.03,-0.05,0.52,0.04,0.24,0.04,0.07,-0.21,0.05,0.00,0.21,0.27,-0.03,0.00,0.41,0.00,0.34,-0.10,0.00,-0.12,0.05,-0.03,0.42,0.18,-0.03,0.34,0.10,0.13,0.26,-0.23,0.00,0.59,0.25,-0.06,0.19,0.45,0.23,0.62,0.16,5.61,-0.12,0.00,0.13,1.13,0.30,0.59,-0.03,0.15,-0.05,-0.50,0.35,0.06,0.06,0.01,0.06,0.20,-0.68,-0.04,0.44,-0.10,0.07,0.06,0.09,0.06,0.50,0.06,-0.04,0.00,0.01,0.06,1.92,0.02,0.25
Dec-15,0.04,0.38,0.44,0.77,-0.07,-0.24,0.02,0.61,0.04,0.00,-0.20,0.08,0.09,0.18,0.06,0.00,-0.06,0.00,0.06,0.00,0.25,-0.04,0.00,0.29,-0.06,0.07,0.37,-0.04,-0.15,0.03,-0.03,-0.13,0.24,0.02,0.19,0.09,0.28,0.18,1.23,-0.03,0.02,-0.03,0.08,-0.07,0.02,0.73,0.09,-0.96,0.33,0.14,0.17,0.02,0.05,-0.03,2.63,-0.02,0.01,0.13,-0.15,0.42,0.00,-0.08,0.41,0.25,0.90,0.25,0.07,0.14,0.32,0.08,0.30,0.15,0.42,0.10,-0.20,0.01,0.14,0.31,-0.01,0.06,-0.01,0.18
Jan-16,0.23,-0.80,0.16,0.04,1.00,0.54,0.02,0.04,0.73,0.18,-0.14,-0.01,-0.16,0.16,0.47,1.08,0.54,0.00,0.00,0.62,0.80,-0.04,0.62,0.00,0.24,0.07,-0.03,-0.08,0.07,-0.01,1.85,-0.23,-0.03,0.11,0.03,0.38,0.07,0.74,-0.02,0.06,0.22,0.16,0.21,0.80,0.49,0.73,-0.09,0.42,0.24,0.00,0.28,0.52,3.06,3.99,1.04,-0.02,-0.19,-0.04,-0.03,0.36,0.24,0.21,-0.02,-0.23,-0.91,0.08,-0.06,0.94,0.22,0.07,-0.10,1.68,0.96,0.17,-0.03,-0.65,4.55,0.26,-0.03,6.01,0.12,0.25
Feb-16,0.10,-0.05,-0.08,-0.31,0.12,0.18,0.01,-0.23,0.00,0.00,0.23,0.03,-0.12,0.55,0.26,0.82,0.69,0.03,2.72,0.00,0.12,0.14,0.06,0.19,0.32,0.04,0.45,-0.04,0.12,-0.02,-0.01,-0.01,-0.26,-0.07,0.40,-0.07,-0.04,1.10,0.26,0.00,0.18,0.20,0.00,-0.23,-0.16,0.08,0.00,0.00,-0.27,0.00,0.05,-0.19,0.18,0.68,-1.66,0.02,0.00,0.20,-0.09,-0.45,0.61,-0.01,0.77,-0.23,-0.29,0.00,0.27,0.18,-0.10,1.69,0.54,-0.09,0.04,0.27,0.03,0.00,0.11,0.55,0.00,-0.08,0.08,0.14
Mar-16,-0.04,-0.27,-0.04,-0.12,0.68,0.51,-0.03,-0.09,0.02,0.06,0.04,0.00,1.54,1.21,0.12,0.05,0.08,0.00,0.48,0.00,1.33,0.22,0.33,0.00,0.08,-0.01,0.04,0.01,0.00,-0.05,-0.04,-0.13,0.10,-0.08,1.35,0.02,0.04,0.06,0.03,-0.02,0.48,-0.42,-0.02,0.15,-0.22,0.03,-0.02,-0.07,0.38,0.00,0.00,-0.30,0.04,0.50,-0.02,0.28,0.00,-0.08,1.55,-0.17,0.00,0.06,0.00,0.06,-0.10,-0.09,0.12,0.20,0.03,-0.17,0.32,-1.60,-0.05,0.17,0.15,0.65,0.01,-0.26,0.13,0.59,0.10,0.08
Apr-16,-0.07,0.02,0.18,0.34,-0.05,-0.07,0.08,0.00,0.00,0.00,-0.02,0.00,0.19,0.73,-0.02,0.21,0.03,0.00,-0.25,0.18,-0.02,0.00,0.00,0.11,0.16,0.04,-0.01,-0.01,0.01,-0.04,0.00,0.06,-0.03,0.16,0.03,0.43,-0.12,0.11,0.43,0.84,0.03,0.16,0.00,0.78,-0.25,-0.28,-0.04,-0.05,0.13,0.14,0.00,0.10,0.02,-0.19,-0.25,-0.10,-0.11,1.16,-1.42,-0.55,0.93,-0.06,1.86,-0.10,0.00,0.14,-0.02,0.17,0.09,0.02,-0.96,-0.03,-0.01,-0.16,0.02,-0.04,0.00,0.25,0.60,0.00,-0.27,0.05
May-16,-0.03,0.11,0.29,0.64,-0.07,0.18,0.08,0.06,0.00,0.00,-0.12,-0.03,-0.38,0.60,-0.14,-0.05,-0.03,-0.04,-0.11,0.02,0.08,-0.01,0.03,0.39,0.60,0.00,0.07,-0.03,0.07,0.00,0.06,0.02,-0.36,-0.03,0.03,0.08,-0.53,0.24,0.03,-0.46,0.03,-0.08,-0.43,0.14,0.00,-0.03,-0.01,0.14,0.12,0.14,-0.01,0.10,0.76,0.03,-0.57,-0.04,-0.09,0.15,0.30,0.02,0.00,-0.02,-0.06,-0.06,0.18,0.13,0.12,0.11,0.00,-0.09,0.25,0.07,-0.02,-0.32,0.10,-3.28,0.00,0.44,0.00,0.16,0.11,0.10
